"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Purchase Gas - One Unit","","Tue May 20 20:01:32 BST 2025","failed","Tue May 20 20:01:32 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","70","Login : Bad Request - Missing Password","","Tue May 20 20:01:30 BST 2025","passed","Tue May 20 20:01:30 BST 2025","","Login API End Point Tests","LoginTests","LoginToApi"
"","70","Unauthorized User Cant Update Order Using Order Id","","Tue May 20 20:01:34 BST 2025","failed","Tue May 20 20:01:34 BST 2025","","Order API End Point Tests","OrderTests","UpdateOrderById"
"","69","Login : Unregistered User Request","","Tue May 20 20:01:30 BST 2025","passed","Tue May 20 20:01:30 BST 2025","","Login API End Point Tests","LoginTests","LoginToApi"
"","280","Purchase Gas - Many Units","","Tue May 20 20:01:32 BST 2025","failed","Tue May 20 20:01:32 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","67","Login : Bad Request - Missing Body","","Tue May 20 20:01:30 BST 2025","passed","Tue May 20 20:01:30 BST 2025","","Login API End Point Tests","LoginTests","LoginToApi"
"","0","Purchase Nuclear - Many Units","","Tue May 20 20:01:33 BST 2025","broken","Tue May 20 20:01:33 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","304","Reset: Valid User","","Tue May 20 20:01:29 BST 2025","passed","Tue May 20 20:01:30 BST 2025","","Reset API End Point Tests","ResetTests","ResetSystemUnderTest"
"","275","Purchase Oil - Many Units","","Tue May 20 20:01:33 BST 2025","failed","Tue May 20 20:01:33 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","298","Purchase Electric - One Unit","","Tue May 20 20:01:31 BST 2025","passed","Tue May 20 20:01:31 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","147","Nuclear: Valid user can retrieve stock data","","Tue May 20 20:01:30 BST 2025","passed","Tue May 20 20:01:31 BST 2025","","Energy API End Point Tests","EnergyTests","EnergyConfiguration"
"","133","Purchase Oil - More Than Current Stock","","Tue May 20 20:01:33 BST 2025","failed","Tue May 20 20:01:33 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","140","Purchase Gas - More Than Current Stock","","Tue May 20 20:01:32 BST 2025","failed","Tue May 20 20:01:32 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","135","Gas: Valid user can retrieve stock data","","Tue May 20 20:01:30 BST 2025","passed","Tue May 20 20:01:30 BST 2025","","Energy API End Point Tests","EnergyTests","EnergyConfiguration"
"","1","Purchase Nuclear - One Unit","","Tue May 20 20:01:33 BST 2025","broken","Tue May 20 20:01:33 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
"","69","Orders: Confirm 5 Historic Orders","","Tue May 20 20:01:33 BST 2025","passed","Tue May 20 20:01:33 BST 2025","","Order API End Point Tests","OrderTests","AmountOfOrders"
"","0","Purchase Nuclear - More Than Current Stock","","Tue May 20 20:01:33 BST 2025","broken","Tue May 20 20:01:33 BST 2025","","Buy API End Point Tests","BuyTests","BuyEnergy"
